N , J(N)
26.7 , 0.00037935
26.8 , 0.000372922
26.9 , 0.000365553
27 , 0.000357291
27.1 , 0.000348184
27.2 , 0.000338283
27.3 , 0.00032764
27.4 , 0.000316309
27.5 , 0.000304344
27.6 , 0.000291799
27.7 , 0.000278732
27.8 , 0.000265197
27.9 , 0.000251251
28 , 0.000236949
28.1 , 0.000222346
28.2 , 0.000207498
28.3 , 0.000192457
28.4 , 0.000177277
28.5 , 0.00016201
28.6 , 0.000146706
28.7 , 0.000131414
28.8 , 0.000116181
28.9 , 0.000101053
29 , 8.60732e-05
29.1 , 7.12837e-05
29.2 , 5.67242e-05
29.3 , 4.24322e-05
29.4 , 2.84431e-05
29.5 , 1.47899e-05
29.6 , 1.50353e-06
29.7 , -1.13877e-05
29.8 , -2.38576e-05
29.9 , -3.58825e-05
30 , -4.74412e-05
30.1 , -5.85147e-05
30.2 , -6.90865e-05
30.3 , -7.91424e-05
30.4 , -8.86706e-05
30.5 , -9.76613e-05
30.6 , -0.000106107
30.7 , -0.000114003
30.8 , -0.000121346
30.9 , -0.000128135
31 , -0.000134371
31.1 , -0.000140056
31.2 , -0.000145196
31.3 , -0.000149796
31.4 , -0.000153865
31.5 , -0.000157411
31.6 , -0.000160447
31.7 , -0.000162984
31.8 , -0.000165035
31.9 , -0.000166616
32 , -0.000167742
32.1 , -0.00016843
32.2 , -0.000168696
32.3 , -0.00016856
32.4 , -0.00016804
32.5 , -0.000167155
32.6 , -0.000165925
32.7 , -0.00016437
32.8 , -0.00016251
32.9 , -0.000160367
33 , -0.000157959
33.1 , -0.000155309
33.2 , -0.000152436
33.3 , -0.00014936
33.4 , -0.000146101
33.5 , -0.00014268
33.6 , -0.000139115
33.7 , -0.000135425
33.8 , -0.000131629
33.9 , -0.000127744
34 , -0.000123788
34.1 , -0.000119776
34.2 , -0.000115726
34.3 , -0.000111651
34.4 , -0.000107567
34.5 , -0.000103487
34.6 , -9.94241e-05
34.7 , -9.53902e-05
34.8 , -9.13966e-05
34.9 , -8.74537e-05
35 , -8.35712e-05
35.1 , -7.97578e-05
35.2 , -7.60214e-05
35.3 , -7.23692e-05
35.4 , -6.88076e-05
35.5 , -6.53421e-05
35.6 , -6.19774e-05
35.7 , -5.87175e-05
35.8 , -5.55657e-05
35.9 , -5.25246e-05
36 , -4.9596e-05
36.1 , -4.67811e-05
36.2 , -4.40805e-05
36.3 , -4.14942e-05
36.4 , -3.90215e-05
36.5 , -3.66613e-05
36.6 , -3.4412e-05
36.7 , -3.22714e-05
36.8 , -3.02371e-05
36.9 , -2.8306e-05
37 , -2.64749e-05
37.1 , -2.47403e-05
37.2 , -2.30981e-05
37.3 , -2.15442e-05
37.4 , -2.00744e-05
37.5 , -1.86839e-05
37.6 , -1.73682e-05
37.7 , -1.61224e-05
37.8 , -1.49416e-05
37.9 , -1.3821e-05
38 , -1.27555e-05
38.1 , -1.17402e-05
38.2 , -1.07702e-05
38.3 , -9.84069e-06
38.4 , -8.9469e-06
38.5 , -8.08419e-06
38.6 , -7.24806e-06
38.7 , -6.43415e-06
38.8 , -5.6383e-06
38.9 , -4.8565e-06
39 , -4.08498e-06
39.1 , -3.32018e-06
39.2 , -2.55875e-06
39.3 , -1.79762e-06
39.4 , -1.03392e-06
39.5 , -2.65082e-07
39.6 , 5.11234e-07
39.7 , 1.29709e-06
39.8 , 2.09427e-06
39.9 , 2.90431e-06
40 , 3.72846e-06
40.1 , 4.56772e-06
