N , J(N)
26.5 , -2.86415e-05
26.6 , -3.49665e-05
26.7 , -4.11582e-05
26.8 , -4.72109e-05
26.9 , -5.31189e-05
27 , -5.88768e-05
27.1 , -6.44795e-05
27.2 , -6.99219e-05
27.3 , -7.51994e-05
27.4 , -8.03074e-05
27.5 , -8.52419e-05
27.6 , -8.99989e-05
27.7 , -9.45747e-05
27.8 , -9.8966e-05
27.9 , -0.00010317
28 , -0.000107183
28.1 , -0.000111004
28.2 , -0.000114629
28.3 , -0.000118058
28.4 , -0.000121289
28.5 , -0.00012432
28.6 , -0.00012715
28.7 , -0.00012978
28.8 , -0.000132208
28.9 , -0.000134435
29 , -0.000136461
29.1 , -0.000138287
29.2 , -0.000139914
29.3 , -0.000141343
29.4 , -0.000142575
29.5 , -0.000143613
29.6 , -0.000144459
29.7 , -0.000145114
29.8 , -0.000145582
29.9 , -0.000145866
30 , -0.000145968
30.1 , -0.000145893
30.2 , -0.000145643
30.3 , -0.000145222
30.4 , -0.000144635
30.5 , -0.000143886
30.6 , -0.000142978
30.7 , -0.000141917
30.8 , -0.000140707
30.9 , -0.000139352
31 , -0.000137858
31.1 , -0.000136229
31.2 , -0.000134471
31.3 , -0.000132589
31.4 , -0.000130587
31.5 , -0.000128472
31.6 , -0.000126248
31.7 , -0.000123921
31.8 , -0.000121495
31.9 , -0.000118977
32 , -0.000116371
32.1 , -0.000113684
32.2 , -0.000110919
32.3 , -0.000108083
32.4 , -0.000105181
32.5 , -0.000102217
32.6 , -9.91974e-05
32.7 , -9.61266e-05
32.8 , -9.30097e-05
32.9 , -8.98517e-05
33 , -8.66573e-05
33.1 , -8.34313e-05
33.2 , -8.01783e-05
33.3 , -7.69028e-05
33.4 , -7.36094e-05
33.5 , -7.03024e-05
33.6 , -6.6986e-05
33.7 , -6.36644e-05
33.8 , -6.03416e-05
33.9 , -5.70214e-05
34 , -5.37078e-05
34.1 , -5.04044e-05
34.2 , -4.71148e-05
34.3 , -4.38425e-05
34.4 , -4.05907e-05
34.5 , -3.73627e-05
34.6 , -3.41616e-05
34.7 , -3.09905e-05
34.8 , -2.78521e-05
34.9 , -2.47492e-05
35 , -2.16844e-05
35.1 , -1.86604e-05
35.2 , -1.56794e-05
35.3 , -1.27437e-05
35.4 , -9.8556e-06
35.5 , -7.01707e-06
35.6 , -4.23009e-06
35.7 , -1.49649e-06
35.8 , 1.18199e-06
35.9 , 3.80373e-06
36 , 6.36719e-06
36.1 , 8.87096e-06
36.2 , 1.13137e-05
36.3 , 1.36942e-05
36.4 , 1.60114e-05
36.5 , 1.82642e-05
36.6 , 2.04516e-05
36.7 , 2.25729e-05
36.8 , 2.46273e-05
36.9 , 2.6614e-05
37 , 2.85326e-05
37.1 , 3.03825e-05
37.2 , 3.21633e-05
37.3 , 3.38746e-05
37.4 , 3.55162e-05
37.5 , 3.70879e-05
37.6 , 3.85896e-05
37.7 , 4.00211e-05
37.8 , 4.13826e-05
37.9 , 4.26741e-05
38 , 4.38958e-05
38.1 , 4.50478e-05
38.2 , 4.61305e-05
38.3 , 4.71441e-05
38.4 , 4.8089e-05
38.5 , 4.89658e-05
38.6 , 4.97748e-05
38.7 , 5.05166e-05
38.8 , 5.11918e-05
38.9 , 5.18011e-05
39 , 5.23451e-05
39.1 , 5.28246e-05
39.2 , 5.32403e-05
39.3 , 5.3593e-05
39.4 , 5.38837e-05
39.5 , 5.41131e-05
39.6 , 5.42823e-05
39.7 , 5.43921e-05
39.8 , 5.44437e-05
39.9 , 5.44379e-05
40 , 5.4376e-05
40.1 , 5.4259e-05
40.2 , 5.4088e-05
40.3 , 5.38641e-05
40.4 , 5.35886e-05
40.5 , 5.32626e-05
40.6 , 5.28875e-05
40.7 , 5.24643e-05
40.8 , 5.19945e-05
40.9 , 5.14793e-05
41 , 5.092e-05
41.1 , 5.03179e-05
41.2 , 4.96745e-05
41.3 , 4.8991e-05
41.4 , 4.82689e-05
41.5 , 4.75096e-05
41.6 , 4.67144e-05
41.7 , 4.58847e-05
41.8 , 4.50221e-05
41.9 , 4.41279e-05
42 , 4.32036e-05
42.1 , 4.22506e-05
42.2 , 4.12704e-05
42.3 , 4.02645e-05
42.4 , 3.92342e-05
42.5 , 3.81812e-05
42.6 , 3.71067e-05
42.7 , 3.60124e-05
42.8 , 3.48996e-05
42.9 , 3.37698e-05
43 , 3.26245e-05
43.1 , 3.14651e-05
43.2 , 3.0293e-05
43.3 , 2.91097e-05
43.4 , 2.79166e-05
43.5 , 2.67151e-05
43.6 , 2.55066e-05
43.7 , 2.42924e-05
43.8 , 2.3074e-05
43.9 , 2.18527e-05
44 , 2.06298e-05
44.1 , 1.94066e-05
44.2 , 1.81845e-05
44.3 , 1.69647e-05
44.4 , 1.57484e-05
44.5 , 1.45369e-05
44.6 , 1.33315e-05
44.7 , 1.21332e-05
44.8 , 1.09433e-05
44.9 , 9.76284e-06
45 , 8.59299e-06
45.1 , 7.43479e-06
45.2 , 6.28931e-06
45.3 , 5.15755e-06
45.4 , 4.0405e-06
45.5 , 2.93913e-06
45.6 , 1.85435e-06
45.7 , 7.87058e-07
45.8 , -2.61887e-07
45.9 , -1.29166e-06
46 , -2.30147e-06
46.1 , -3.29056e-06
46.2 , -4.25821e-06
46.3 , -5.20373e-06
46.4 , -6.12648e-06
46.5 , -7.02583e-06
46.6 , -7.90121e-06
46.7 , -8.75208e-06
46.8 , -9.57792e-06
46.9 , -1.03783e-05
47 , -1.11527e-05
47.1 , -1.19008e-05
47.2 , -1.26223e-05
47.3 , -1.33167e-05
47.4 , -1.39838e-05
47.5 , -1.46234e-05
47.6 , -1.52353e-05
47.7 , -1.58192e-05
47.8 , -1.6375e-05
47.9 , -1.69026e-05
48 , -1.7402e-05
48.1 , -1.7873e-05
48.2 , -1.83157e-05
48.3 , -1.87301e-05
48.4 , -1.91162e-05
48.5 , -1.94742e-05
48.6 , -1.98041e-05
48.7 , -2.01062e-05
48.8 , -2.03805e-05
48.9 , -2.06273e-05
