N , J(N)
0 , -0.00383762
0.1 , -0.00391888
0.2 , -0.00398537
0.3 , -0.00403765
0.4 , -0.00407611
0.5 , -0.00410087
0.6 , -0.00411154
0.7 , -0.00410677
0.8 , -0.00408271
0.9 , -0.00402741
1 , -0.00388631
1.1 , -0.00230721
1.2 , -0.00445512
1.3 , -0.00420782
1.4 , -0.00409644
1.5 , -0.0040093
1.6 , -0.0039276
1.7 , -0.00384583
1.8 , -0.00376199
1.9 , -0.00367537
2 , -0.00358581
2.1 , -0.00349341
2.2 , -0.00339839
2.3 , -0.00330097
2.4 , -0.00320132
2.5 , -0.00309942
2.6 , -0.00299488
2.7 , -0.00288643
2.8 , -0.00277071
2.9 , -0.00263789
3 , -0.00244904
3.1 , -0.00179491
3.2 , -0.00311962
3.3 , -0.00265861
3.4 , -0.00249713
3.5 , -0.00238724
3.6 , -0.002298
3.7 , -0.00222079
3.8 , -0.00215232
3.9 , -0.00209102
4 , -0.00203606
4.1 , -0.00198691
4.2 , -0.00194318
4.3 , -0.00190453
4.4 , -0.00187064
4.5 , -0.00184122
4.6 , -0.00181592
4.7 , -0.00179441
4.8 , -0.00177634
4.9 , -0.00176134
5 , -0.00174903
5.1 , -0.00173903
5.2 , -0.00173094
5.3 , -0.00172439
5.4 , -0.00171898
5.5 , -0.00171436
5.6 , -0.00171016
5.7 , -0.00170604
5.8 , -0.00170169
5.9 , -0.00169681
6 , -0.00169113
6.1 , -0.00168441
6.2 , -0.00167643
6.3 , -0.001667
6.4 , -0.00165598
6.5 , -0.00164323
6.6 , -0.00162865
6.7 , -0.00161216
6.8 , -0.00159373
6.9 , -0.00157332
7 , -0.00155093
7.1 , -0.00152659
7.2 , -0.00150031
7.3 , -0.00147216
7.4 , -0.00144219
7.5 , -0.00141047
7.6 , -0.00137708
7.7 , -0.0013421
7.8 , -0.00130562
7.9 , -0.00126774
8 , -0.00122853
8.1 , -0.00118809
8.2 , -0.00114649
8.3 , -0.00110383
8.4 , -0.00106018
8.5 , -0.0010156
8.6 , -0.000970171
8.7 , -0.000923946
8.8 , -0.000876984
8.9 , -0.000829336
9 , -0.000781049
9.1 , -0.000732166
9.2 , -0.000682726
9.3 , -0.000632769
9.4 , -0.000582329
9.5 , -0.000531443
9.6 , -0.000480146
9.7 , -0.000428474
9.8 , -0.000376465
9.9 , -0.00032416
10 , -0.000271603
10.1 , -0.000218841
10.2 , -0.000165926
10.3 , -0.000112914
10.4 , -5.98652e-05
10.5 , -6.84593e-06
10.6 , 4.60729e-05
10.7 , 9.88155e-05
10.8 , 0.000151301
10.9 , 0.000203445
11 , 0.000255157
11.1 , 0.000306344
11.2 , 0.000356911
11.3 , 0.000406759
11.4 , 0.000455786
11.5 , 0.000503892
11.6 , 0.000550973
11.7 , 0.000596927
11.8 , 0.000641654
11.9 , 0.000685053
12 , 0.000727029
12.1 , 0.000767487
12.2 , 0.000806338
12.3 , 0.000843498
12.4 , 0.000878886
12.5 , 0.000912428
12.6 , 0.000944057
12.7 , 0.000973712
12.8 , 0.00100134
12.9 , 0.00102689
13 , 0.00105033
13.1 , 0.00107163
13.2 , 0.00109075
13.3 , 0.0011077
13.4 , 0.00112245
13.5 , 0.00113502
13.6 , 0.0011454
13.7 , 0.00115362
13.8 , 0.0011597
13.9 , 0.00116366
14 , 0.00116555
14.1 , 0.00116541
14.2 , 0.00116327
14.3 , 0.00115921
14.4 , 0.00115327
14.5 , 0.00114552
14.6 , 0.00113603
14.7 , 0.00112486
14.8 , 0.0011121
14.9 , 0.00109781
15 , 0.00108207
15.1 , 0.00106497
15.2 , 0.00104658
15.3 , 0.00102699
15.4 , 0.00100627
15.5 , 0.00098452
15.6 , 0.000961808
15.7 , 0.000938218
15.8 , 0.00091383
15.9 , 0.000888722
16 , 0.000862972
16.1 , 0.000836654
16.2 , 0.000809841
16.3 , 0.000782605
16.4 , 0.000755013
16.5 , 0.000727133
16.6 , 0.000699027
16.7 , 0.000670756
16.8 , 0.000642379
16.9 , 0.00061395
17 , 0.000585523
17.1 , 0.000557147
17.2 , 0.000528869
17.3 , 0.000500734
17.4 , 0.000472783
17.5 , 0.000445055
17.6 , 0.000417586
17.7 , 0.000390411
17.8 , 0.000363559
17.9 , 0.000337062
18 , 0.000310944
18.1 , 0.00028523
