N , J(N)
18.2 , 0.000259943
18.3 , 0.000235102
18.4 , 0.000210726
18.5 , 0.000186831
18.6 , 0.000163432
18.7 , 0.000140541
18.8 , 0.00011817
18.9 , 9.63281e-05
19 , 7.50237e-05
19.1 , 5.42637e-05
19.2 , 3.40537e-05
19.3 , 1.4398e-05
19.4 , -4.70006e-06
19.5 , -2.32384e-05
19.6 , -4.12159e-05
19.7 , -5.86322e-05
19.8 , -7.54882e-05
19.9 , -9.17851e-05
20 , -0.000107525
20.1 , -0.000122712
20.2 , -0.000137348
20.3 , -0.000151439
20.4 , -0.000164988
20.5 , -0.000178001
20.6 , -0.000190485
20.7 , -0.000202444
20.8 , -0.000213886
20.9 , -0.000224817
21 , -0.000235244
21.1 , -0.000245175
21.2 , -0.000254618
21.3 , -0.00026358
21.4 , -0.00027207
21.5 , -0.000280095
21.6 , -0.000287663
21.7 , -0.000294782
21.8 , -0.000301462
21.9 , -0.000307709
22 , -0.000313533
22.1 , -0.000318942
22.2 , -0.000323942
22.3 , -0.000328543
22.4 , -0.000332753
22.5 , -0.000336579
22.6 , -0.000340028
22.7 , -0.000343109
22.8 , -0.000345829
22.9 , -0.000348194
23 , -0.000350212
23.1 , -0.00035189
23.2 , -0.000353235
23.3 , -0.000354252
23.4 , -0.00035495
23.5 , -0.000355332
23.6 , -0.000355407
23.7 , -0.000355179
23.8 , -0.000354655
23.9 , -0.00035384
24 , -0.00035274
24.1 , -0.000351359
24.2 , -0.000349705
24.3 , -0.000347781
24.4 , -0.000345593
24.5 , -0.000343146
24.6 , -0.000340446
24.7 , -0.000337496
24.8 , -0.000334304
24.9 , -0.000330872
25 , -0.000327207
25.1 , -0.000323314
25.2 , -0.000319197
25.3 , -0.000314863
25.4 , -0.000310315
25.5 , -0.00030556
25.6 , -0.000300603
25.7 , -0.000295449
25.8 , -0.000290104
25.9 , -0.000284573
26 , -0.000278863
26.1 , -0.00027298
26.2 , -0.000266928
26.3 , -0.000260716
26.4 , -0.000254348
26.5 , -0.000247832
26.6 , -0.000241173
26.7 , -0.000234379
26.8 , -0.000227457
26.9 , -0.000220413
27 , -0.000213254
27.1 , -0.000205988
27.2 , -0.000198622
27.3 , -0.000191164
27.4 , -0.000183621
27.5 , -0.000176
27.6 , -0.00016831
27.7 , -0.000160559
27.8 , -0.000152754
27.9 , -0.000144902
28 , -0.000137014
28.1 , -0.000129095
28.2 , -0.000121156
28.3 , -0.000113203
28.4 , -0.000105245
28.5 , -9.72902e-05
28.6 , -8.93468e-05
28.7 , -8.1423e-05
28.8 , -7.35269e-05
28.9 , -6.56666e-05
29 , -5.78502e-05
29.1 , -5.00856e-05
29.2 , -4.23808e-05
29.3 , -3.47435e-05
29.4 , -2.71815e-05
29.5 , -1.97023e-05
29.6 , -1.23134e-05
29.7 , -5.02209e-06
29.8 , 2.16447e-06
29.9 , 9.23933e-06
30 , 1.61957e-05
30.1 , 2.30269e-05
30.2 , 2.97266e-05
30.3 , 3.62886e-05
30.4 , 4.27069e-05
30.5 , 4.89759e-05
30.6 , 5.50899e-05
30.7 , 6.10439e-05
30.8 , 6.68327e-05
30.9 , 7.24518e-05
31 , 7.78967e-05
31.1 , 8.31632e-05
31.2 , 8.82474e-05
31.3 , 9.31459e-05
31.4 , 9.78553e-05
31.5 , 0.000102373
31.6 , 0.000106695
31.7 , 0.000110821
31.8 , 0.000114748
31.9 , 0.000118473
32 , 0.000121996
32.1 , 0.000125316
32.2 , 0.000128432
32.3 , 0.000131343
32.4 , 0.000134048
32.5 , 0.000136549
32.6 , 0.000138845
32.7 , 0.000140937
32.8 , 0.000142826
32.9 , 0.000144513
33 , 0.000146
33.1 , 0.000147288
33.2 , 0.00014838
33.3 , 0.000149277
33.4 , 0.000149982
33.5 , 0.000150498
33.6 , 0.000150828
33.7 , 0.000150974
33.8 , 0.000150941
33.9 , 0.000150731
34 , 0.000150349
34.1 , 0.000149798
34.2 , 0.000149082
34.3 , 0.000148206
34.4 , 0.000147174
34.5 , 0.00014599
34.6 , 0.000144659
34.7 , 0.000143185
34.8 , 0.000141574
34.9 , 0.00013983
35 , 0.000137959
35.1 , 0.000135964
35.2 , 0.000133852
35.3 , 0.000131627
35.4 , 0.000129294
35.5 , 0.000126859
35.6 , 0.000124327
35.7 , 0.000121703
35.8 , 0.000118993
35.9 , 0.0001162
36 , 0.000113332
36.1 , 0.000110392
36.2 , 0.000107386
36.3 , 0.000104318
36.4 , 0.000101195
36.5 , 9.80209e-05
36.6 , 9.48005e-05
36.7 , 9.15388e-05
36.8 , 8.82405e-05
36.9 , 8.49105e-05
37 , 8.15532e-05
37.1 , 7.81734e-05
37.2 , 7.47753e-05
37.3 , 7.13635e-05
37.4 , 6.79422e-05
37.5 , 6.45155e-05
37.6 , 6.10875e-05
37.7 , 5.76622e-05
37.8 , 5.42434e-05
37.9 , 5.0835e-05
38 , 4.74405e-05
38.1 , 4.40635e-05
38.2 , 4.07074e-05
38.3 , 3.73755e-05
38.4 , 3.40711e-05
38.5 , 3.07971e-05
38.6 , 2.75566e-05
38.7 , 2.43525e-05
38.8 , 2.11874e-05
38.9 , 1.8064e-05
39 , 1.49847e-05
39.1 , 1.19521e-05
39.2 , 8.96835e-06
39.3 , 6.03564e-06
39.4 , 3.15603e-06
39.5 , 3.3148e-07
39.6 , -2.43617e-06
39.7 , -5.14519e-06
39.8 , -7.79395e-06
39.9 , -1.03809e-05
40 , -1.29047e-05
40.1 , -1.53639e-05
40.2 , -1.77574e-05
40.3 , -2.0084e-05
40.4 , -2.23427e-05
40.5 , -2.45326e-05
40.6 , -2.66528e-05
40.7 , -2.87026e-05
40.8 , -3.06813e-05
40.9 , -3.25884e-05
41 , -3.44233e-05
41.1 , -3.61857e-05
41.2 , -3.78752e-05
41.3 , -3.94916e-05
41.4 , -4.10348e-05
41.5 , -4.25045e-05
41.6 , -4.39009e-05
41.7 , -4.5224e-05
41.8 , -4.64738e-05
41.9 , -4.76506e-05
42 , -4.87547e-05
42.1 , -4.97864e-05
42.2 , -5.0746e-05
42.3 , -5.16339e-05
42.4 , -5.24508e-05
42.5 , -5.31972e-05
42.6 , -5.38736e-05
42.7 , -5.44808e-05
42.8 , -5.50194e-05
42.9 , -5.54903e-05
43 , -5.58942e-05
43.1 , -5.6232e-05
43.2 , -5.65047e-05
43.3 , -5.67132e-05
43.4 , -5.68585e-05
43.5 , -5.69416e-05
43.6 , -5.69636e-05
43.7 , -5.69256e-05
43.8 , -5.68288e-05
43.9 , -5.66744e-05
44 , -5.64635e-05
44.1 , -5.61974e-05
44.2 , -5.58774e-05
44.3 , -5.55049e-05
44.4 , -5.5081e-05
44.5 , -5.46073e-05
44.6 , -5.4085e-05
44.7 , -5.35156e-05
44.8 , -5.29005e-05
44.9 , -5.22411e-05
45 , -5.15389e-05
45.1 , -5.07954e-05
45.2 , -5.0012e-05
45.3 , -4.91904e-05
45.4 , -4.83319e-05
45.5 , -4.74381e-05
45.6 , -4.65106e-05
45.7 , -4.55509e-05
45.8 , -4.45606e-05
45.9 , -4.35411e-05
46 , -4.24941e-05
46.1 , -4.14211e-05
46.2 , -4.03238e-05
46.3 , -3.92035e-05
46.4 , -3.8062e-05
46.5 , -3.69008e-05
46.6 , -3.57213e-05
46.7 , -3.45252e-05
46.8 , -3.3314e-05
46.9 , -3.20892e-05
47 , -3.08524e-05
47.1 , -2.9605e-05
47.2 , -2.83485e-05
47.3 , -2.70845e-05
47.4 , -2.58143e-05
47.5 , -2.45394e-05
47.6 , -2.32613e-05
47.7 , -2.19813e-05
47.8 , -2.07009e-05
47.9 , -1.94213e-05
48 , -1.81441e-05
48.1 , -1.68704e-05
48.2 , -1.56016e-05
48.3 , -1.43389e-05
48.4 , -1.30836e-05
48.5 , -1.18369e-05
48.6 , -1.06e-05
48.7 , -9.37399e-06
48.8 , -8.16009e-06
48.9 , -6.95936e-06
