N , J(N)
0 , -0.0100569
0.1 , -0.00990706
0.2 , -0.00973238
0.3 , -0.00953478
0.4 , -0.00931605
0.5 , -0.00907783
0.6 , -0.00882153
0.7 , -0.00854819
0.8 , -0.00825836
0.9 , -0.00795183
1 , -0.00762719
1.1 , -0.00728107
1.2 , -0.00690674
1.3 , -0.00649124
1.4 , -0.00600878
1.5 , -0.00540362
1.6 , -0.00453446
1.7 , -0.00292072
1.8 , 0.00274446
1.9 , -0.0257922
2 , -0.0107208
2.1 , -0.00848223
2.2 , -0.00748218
2.3 , -0.00686535
2.4 , -0.00641902
2.5 , -0.00606439
2.6 , -0.00576492
2.7 , -0.00550084
2.8 , -0.00526007
2.9 , -0.00503444
3 , -0.00481795
3.1 , -0.00460589
3.2 , -0.00439436
3.3 , -0.00418001
3.4 , -0.00395989
3.5 , -0.00373134
3.6 , -0.00349191
3.7 , -0.00323932
3.8 , -0.00297134
3.9 , -0.0026857
4 , -0.00237986
4.1 , -0.00205078
4.2 , -0.00169444
4.3 , -0.00130505
4.4 , -0.00087375
4.5 , -0.000386024
4.6 , 0.000183359
4.7 , 0.000881765
4.8 , 0.00180791
4.9 , 0.00320302
5 , 0.00584112
5.1 , 0.0142512
5.2 , -0.0717433
5.3 , -0.0107478
5.4 , -0.00570293
5.5 , -0.00372538
5.6 , -0.00262281
5.7 , -0.00189887
5.8 , -0.00137923
5.9 , -0.000986907
6 , -0.000682492
6.1 , -0.00044349
6.2 , -0.000255854
6.3 , -0.000110071
6.4 , 7.96285e-07
6.5 , 8.21727e-05
6.6 , 0.000138554
6.7 , 0.000173847
6.8 , 0.000191565
6.9 , 0.000194934
7 , 0.000186954
7.1 , 0.000170424
7.2 , 0.000147949
7.3 , 0.000121933
7.4 , 9.45727e-05
7.5 , 6.78397e-05
7.6 , 4.34713e-05
7.7 , 2.29592e-05
7.8 , 7.54236e-06
7.9 , -1.79559e-06
8 , -4.32497e-06
8.1 , 4.36339e-07
8.2 , 1.27335e-05
8.3 , 3.25898e-05
8.4 , 5.98249e-05
8.5 , 9.40765e-05
8.6 , 0.000134825
8.7 , 0.000181418
8.8 , 0.0002331
8.9 , 0.000289037
9 , 0.000348343
9.1 , 0.00041011
9.2 , 0.000473427
9.3 , 0.000537409
9.4 , 0.000601209
9.5 , 0.000664043
9.6 , 0.000725198
9.7 , 0.000784049
9.8 , 0.000840063
9.9 , 0.000892804
10 , 0.000941939
10.1 , 0.000987231
10.2 , 0.00102854
10.3 , 0.00106583
10.4 , 0.00109912
10.5 , 0.00112853
10.6 , 0.00115424
10.7 , 0.00117647
10.8 , 0.0011955
10.9 , 0.00121163
11 , 0.00122519
11.1 , 0.0012365
11.2 , 0.0012459
11.3 , 0.0012537
11.4 , 0.00126022
11.5 , 0.00126572
11.6 , 0.00127045
11.7 , 0.00127463
11.8 , 0.00127842
11.9 , 0.00128196
12 , 0.00128533
12.1 , 0.0012886
12.2 , 0.00129176
12.3 , 0.00129481
12.4 , 0.00129768
12.5 , 0.0013003
12.6 , 0.00130255
12.7 , 0.00130432
12.8 , 0.00130546
12.9 , 0.00130583
13 , 0.00130527
13.1 , 0.00130363
13.2 , 0.00130077
13.3 , 0.00129654
13.4 , 0.00129082
13.5 , 0.00128349
13.6 , 0.00127446
13.7 , 0.00126365
13.8 , 0.001251
13.9 , 0.00123648
14 , 0.00122007
14.1 , 0.00120178
14.2 , 0.00118162
14.3 , 0.00115965
14.4 , 0.00113591
14.5 , 0.00111049
14.6 , 0.00108347
14.7 , 0.00105495
14.8 , 0.00102504
14.9 , 0.000993854
15 , 0.000961511
15.1 , 0.000928134
15.2 , 0.000893847
15.3 , 0.000858774
15.4 , 0.000823035
15.5 , 0.000786746
15.6 , 0.000750021
15.7 , 0.000712966
15.8 , 0.000675681
15.9 , 0.000638258
16 , 0.000600783
16.1 , 0.000563336
16.2 , 0.000525986
16.3 , 0.000488799
16.4 , 0.000451831
16.5 , 0.000415134
16.6 , 0.000378754
16.7 , 0.00034273
16.8 , 0.000307099
16.9 , 0.000271893
17 , 0.000237142
17.1 , 0.000202871
17.2 , 0.000169106
17.3 , 0.00013587
17.4 , 0.000103185
17.5 , 7.10722e-05
17.6 , 3.95543e-05
17.7 , 8.6523e-06
17.8 , -2.1612e-05
17.9 , -5.12167e-05
18 , -8.01394e-05
18.1 , -0.000108358
18.2 , -0.000135848
18.3 , -0.000162589
18.4 , -0.000188557
18.5 , -0.000213729
18.6 , -0.000238085
18.7 , -0.000261603
18.8 , -0.000284264
18.9 , -0.000306049
