N , J(N)
19 , -0.000326942
19.1 , -0.000346927
19.2 , -0.000365993
19.3 , -0.000384127
19.4 , -0.000401321
19.5 , -0.000417571
19.6 , -0.000432871
19.7 , -0.000447222
19.8 , -0.000460625
19.9 , -0.000473085
20 , -0.000484606
20.1 , -0.0004952
20.2 , -0.000504876
20.3 , -0.000513648
20.4 , -0.000521531
20.5 , -0.000528543
20.6 , -0.000534701
20.7 , -0.000540025
20.8 , -0.000544536
20.9 , -0.000548257
21 , -0.000551209
21.1 , -0.000553417
21.2 , -0.000554903
21.3 , -0.000555693
21.4 , -0.000555809
21.5 , -0.000555276
21.6 , -0.000554118
21.7 , -0.000552358
21.8 , -0.000550021
21.9 , -0.000547128
22 , -0.000543702
22.1 , -0.000539766
22.2 , -0.00053534
22.3 , -0.000530446
22.4 , -0.000525103
22.5 , -0.000519332
22.6 , -0.000513152
22.7 , -0.000506581
22.8 , -0.000499637
22.9 , -0.000492339
23 , -0.000484704
23.1 , -0.000476748
23.2 , -0.000468489
23.3 , -0.000459941
23.4 , -0.000451121
23.5 , -0.000442045
23.6 , -0.000432727
23.7 , -0.000423182
23.8 , -0.000413426
23.9 , -0.000403472
24 , -0.000393334
24.1 , -0.000383027
24.2 , -0.000372564
24.3 , -0.000361958
24.4 , -0.000351223
24.5 , -0.000340372
24.6 , -0.000329417
24.7 , -0.000318372
24.8 , -0.000307247
24.9 , -0.000296055
25 , -0.000284808
25.1 , -0.000273516
25.2 , -0.000262192
25.3 , -0.000250846
25.4 , -0.000239489
25.5 , -0.00022813
25.6 , -0.00021678
25.7 , -0.000205449
25.8 , -0.000194145
25.9 , -0.000182878
26 , -0.000171657
26.1 , -0.000160491
26.2 , -0.000149387
26.3 , -0.000138354
26.4 , -0.0001274
26.5 , -0.000116531
26.6 , -0.000105757
26.7 , -9.5083e-05
26.8 , -8.45169e-05
26.9 , -7.40652e-05
27 , -6.37345e-05
27.1 , -5.35312e-05
27.2 , -4.34616e-05
27.3 , -3.35315e-05
27.4 , -2.3747e-05
27.5 , -1.41137e-05
27.6 , -4.6372e-06
27.7 , 4.67714e-06
27.8 , 1.38241e-05
27.9 , 2.27985e-05
28 , 3.15955e-05
28.1 , 4.02102e-05
28.2 , 4.86382e-05
28.3 , 5.68748e-05
28.4 , 6.49157e-05
28.5 , 7.2757e-05
28.6 , 8.03944e-05
28.7 , 8.78244e-05
28.8 , 9.50432e-05
28.9 , 0.000102047
29 , 0.000108834
29.1 , 0.000115399
29.2 , 0.000121741
29.3 , 0.000127856
29.4 , 0.000133742
29.5 , 0.000139396
29.6 , 0.000144818
29.7 , 0.000150004
29.8 , 0.000154953
29.9 , 0.000159664
30 , 0.000164135
30.1 , 0.000168365
30.2 , 0.000172355
30.3 , 0.000176102
30.4 , 0.000179607
30.5 , 0.000182869
30.6 , 0.000185889
30.7 , 0.000188667
30.8 , 0.000191204
30.9 , 0.0001935
31 , 0.000195556
31.1 , 0.000197373
31.2 , 0.000198953
31.3 , 0.000200298
31.4 , 0.000201409
31.5 , 0.000202289
31.6 , 0.00020294
31.7 , 0.000203363
31.8 , 0.000203563
31.9 , 0.000203542
32 , 0.000203303
32.1 , 0.000202849
32.2 , 0.000202184
32.3 , 0.000201312
32.4 , 0.000200236
32.5 , 0.000198962
32.6 , 0.000197492
32.7 , 0.000195832
32.8 , 0.000193986
32.9 , 0.000191958
33 , 0.000189755
33.1 , 0.000187381
33.2 , 0.00018484
33.3 , 0.00018214
33.4 , 0.000179284
33.5 , 0.000176279
33.6 , 0.000173131
33.7 , 0.000169845
33.8 , 0.000166427
33.9 , 0.000162883
34 , 0.000159219
34.1 , 0.000155442
34.2 , 0.000151557
34.3 , 0.000147572
34.4 , 0.000143491
34.5 , 0.000139322
34.6 , 0.000135071
34.7 , 0.000130744
34.8 , 0.000126347
34.9 , 0.000121887
35 , 0.00011737
35.1 , 0.000112803
35.2 , 0.000108191
35.3 , 0.00010354
35.4 , 9.88583e-05
35.5 , 9.41501e-05
35.6 , 8.94219e-05
35.7 , 8.46797e-05
35.8 , 7.99292e-05
35.9 , 7.51763e-05
36 , 7.04265e-05
36.1 , 6.56855e-05
36.2 , 6.09585e-05
36.3 , 5.62511e-05
36.4 , 5.15683e-05
36.5 , 4.69152e-05
36.6 , 4.22968e-05
36.7 , 3.77177e-05
36.8 , 3.31827e-05
36.9 , 2.86963e-05
37 , 2.42628e-05
37.1 , 1.98865e-05
37.2 , 1.55712e-05
37.3 , 1.1321e-05
37.4 , 7.13957e-06
37.5 , 3.03044e-06
37.6 , -1.00298e-06
37.7 , -4.95747e-06
37.8 , -8.82995e-06
37.9 , -1.26175e-05
38 , -1.63175e-05
38.1 , -1.99272e-05
38.2 , -2.34444e-05
38.3 , -2.68667e-05
38.4 , -3.01922e-05
38.5 , -3.34188e-05
38.6 , -3.6545e-05
38.7 , -3.9569e-05
38.8 , -4.24895e-05
38.9 , -4.53053e-05
39 , -4.80152e-05
39.1 , -5.06182e-05
39.2 , -5.31137e-05
39.3 , -5.55008e-05
39.4 , -5.77792e-05
39.5 , -5.99485e-05
39.6 , -6.20084e-05
39.7 , -6.39589e-05
39.8 , -6.58e-05
39.9 , -6.75319e-05
40 , -6.91548e-05
40.1 , -7.06693e-05
40.2 , -7.20759e-05
40.3 , -7.33751e-05
40.4 , -7.45678e-05
40.5 , -7.56549e-05
40.6 , -7.66374e-05
40.7 , -7.75162e-05
40.8 , -7.82926e-05
40.9 , -7.89679e-05
41 , -7.95434e-05
41.1 , -8.00205e-05
41.2 , -8.04007e-05
41.3 , -8.06856e-05
41.4 , -8.0877e-05
41.5 , -8.09764e-05
41.6 , -8.09858e-05
41.7 , -8.09069e-05
41.8 , -8.07417e-05
41.9 , -8.04921e-05
42 , -8.01601e-05
42.1 , -7.97478e-05
42.2 , -7.92573e-05
42.3 , -7.86907e-05
42.4 , -7.80501e-05
42.5 , -7.73379e-05
42.6 , -7.65561e-05
42.7 , -7.57072e-05
42.8 , -7.47932e-05
42.9 , -7.38167e-05
43 , -7.27797e-05
43.1 , -7.16848e-05
43.2 , -7.05342e-05
43.3 , -6.93302e-05
43.4 , -6.80753e-05
43.5 , -6.67718e-05
43.6 , -6.5422e-05
43.7 , -6.40283e-05
43.8 , -6.2593e-05
43.9 , -6.11185e-05
44 , -5.96071e-05
44.1 , -5.80612e-05
44.2 , -5.64831e-05
44.3 , -5.4875e-05
44.4 , -5.32392e-05
44.5 , -5.1578e-05
44.6 , -4.98937e-05
44.7 , -4.81884e-05
44.8 , -4.64644e-05
44.9 , -4.47238e-05
45 , -4.29688e-05
45.1 , -4.12014e-05
45.2 , -3.94239e-05
45.3 , -3.76381e-05
45.4 , -3.58462e-05
45.5 , -3.40502e-05
45.6 , -3.22519e-05
45.7 , -3.04534e-05
45.8 , -2.86565e-05
45.9 , -2.6863e-05
46 , -2.50747e-05
46.1 , -2.32935e-05
46.2 , -2.1521e-05
46.3 , -1.97589e-05
46.4 , -1.80089e-05
46.5 , -1.62726e-05
46.6 , -1.45515e-05
46.7 , -1.28471e-05
46.8 , -1.11609e-05
46.9 , -9.49437e-06
47 , -7.8488e-06
47.1 , -6.22555e-06
47.2 , -4.62591e-06
47.3 , -3.05111e-06
47.4 , -1.50233e-06
47.5 , 1.92701e-08
47.6 , 1.51261e-06
47.7 , 2.97666e-06
47.8 , 4.4104e-06
47.9 , 5.81289e-06
48 , 7.18324e-06
48.1 , 8.52059e-06
48.2 , 9.82415e-06
48.3 , 1.10931e-05
48.4 , 1.23269e-05
48.5 , 1.35247e-05
48.6 , 1.46861e-05
48.7 , 1.58103e-05
48.8 , 1.68969e-05
48.9 , 1.79455e-05
